taskID,task,predecessorTaskIDs,bestCaseHours,expectedHours,worstCaseHours,projectManager,frontendDeveloper,backendDeveloper,dataScientist,dataEngineer,bestCaseCost,expectedCost,worstCaseCost,marketingSpecialist,QA_Specialist,designer
A,Describe product,,20,30,40,1,,,,,3000,4500,6000,,,,
B,Develop marketing strategy,,20,40,60,1,,,,,5000,8500,12500,1,,,
C,Design brochure,A,40,60,80,,,1,,,,4400,6600,8800,,,1
D1,Requirements analysis,A,60,80,100,1,,,,,9000,12000,15000,,,,
D2,Software design,D1,80,120,160,,1,,,,10400,15600,20800,,,,
D3,System design,D1,80,120,160,,1,1,,,10700,16200,21700,,,,
D4,Coding,D2,200,300,400,,2,,,,26000,39000,52000,,,,
D5,Write documentation,D4,10,20,40,1,,,,,1500,3000,6000,,,,
D6,Unit testing,D4,20,30,40,,1,,,,2600,3900,5200,,,,
D7,System testing,D6,20,30,40,,1,,1,,2700,4050,5400,,1,
D8,Package deliverables,D5,D7,10,15,20,1,,,,,1500,2250,3000,,,,
E,Survey potential market,B,C,60,90,120,1,,,,8500,12750,17000,1,,,
F,Develop pricing plan,D8,E,40,60,80,,1,,,5600,8400,11200,,,,
G,Develop implementation plan,A,D8,20,30,40,1,,1,,,3900,5850,7800,,,,
H,Write client proposal,F,G,20,70,100,1,,,,4150,10150,14650,1,,,
